"","A..4.."
"664","Myanmar:Boronga Island"
"665","Micronesia:Oroluk Atoll"
"666","Finland:Halluoto"
"667","Fiji:Qamea"
"668","Cook Islands:Takutea"
"669","Myanmar:Kalegauk Island"
"670","Maldives:?"
"671","Cook Islands:Aitutaki Atoll"
"672","Greenland:?"
"673","Maldives:?"
"674","Honduras:Isla El Tigre"
"675","Chile:Isla Clemente"
"676","Chile:Isla Lennox"
"677","Philippines:?"
"678","Cuba:Cayo Largo"
"679","Philippines:Siquijor"
"680","Japan:Kyushu"
"681","USA:Florida:Vaca Key"
"682","USSR:Ostrov Komsomol'skoy Pravdy"
"683","Italy:Isola d'Elba"
"684","Fiji:Naviti"
"685","Canada:King Island"
"686","Antarctica:Berkner Island"
"687","New Caledonia:Ile Art"
"688","Papua New Guinea:Kiriwina"
"689","Greenland:?"
"690","Indonesia:Batudaka"
"691","Greece:Kefallinia"
"692","Antarctica:James Ross Island"
"693","Cuba:Isla de la Juventura"
"694","USSR:Ostrov Sakhalin"
"695","Sin Cowe Island"
"696","France:Ile aux Cochons"
"697","Brazil:Ilha Queimada"
"698","Vanuatu:Toga"
"699","Papua New Guinea:Nuguria Island"
"700","Kiribati:Sydney Island"
"701","Malaysia:Borneo"
"702","France:Ile d'Oleron"
"703","Japan:Yome Jima"
"704","French Polynesia:Fatu Hiva"
"705","USA:Alaska:Atka Island"
"706","Canada:Amund Ringnes Island"
"707","Canada:Royal Geographical Society Island:East"
"708","Antarctica:Elephant Island"
"709","Japan:Muko Jima"
"710","New Zealand:Auckland Island"
"711","USSR:Ostrov Izvestiy Tslk:West"
"712","Australia:Hunter Island"
"713","Bahamas:Crooked Island"
"714","Canada:Bray Island"
"715","Netherlands:Terschelling"
"716","USA:Alaska:Herbert Island"
"717","French Polynesia:Bora-Bora"
"718","Bahamas:Little Inagua Island"
"719","New Zealand:Bounty Island"
"720","Indonesia:Peleng"
"721","Indonesia:Nunukan Timur"
"722","Myanmar:?"
"723","Australia:North Stradbroke Island"
"724","Greece:Rodhos"
"725","Indonesia:Lombok"
"726","Papua New Guinea:Karkar"
"727","Bangladesh:?"
"728","USA:Florida:Long Key"
"729","Japan:Kume Shima"
"730","Antarctica:King George Island"
"731","Antarctica:Roosevelt Island"
"732","Indonesia:Belitung"
"733","South Sandwich Islands:Candlemas Island"
"734","USSR:Ostrov Chetyrekhstolbovoy"
"735","Philippines:Batan"
"736","UK:Tristan da Cunha Island"
"737","Tuvalu:Niutao"
"738","India:Minicoy Island"
"739","Canada:Wales Island"
"740","Northern Mariana Islands:Asuncion"
"741","Greenland:?"
"742","Canada:Prince Patrick Island"
"743","Maldives:?"
"744","Indonesia:Gam"
"745","Solomon Islands:New Georgia"
"746","Chile:Isla Duque de York"
"747","Thailand:Ko Talibong"
"748","USSR:Ostrov Zav'yalova"
"749","Thailand:Ko Ang Thong"
"750","Finland:Vallgrund"
"751","Canada:Koch Island"
"752","Antarctica:?"
"753","Chile:?"
"754","Canada:Loks Land Island"
"755","Mexico:Isla Clarion"
"756","Bangladesh:?"
"757","Paracel Islands:Passau Keah"
"758","Thailand:Ko Phuket"
"759","Micronesia:Eauripik"
"760","France:Saint-Pierre and Miquelon"
"761","Sao Tome and Principe:Ilha da Sao Tome"
"762","Canada:Saint Joseph Island"
"763","Japan:Nishino Shima"
"764","New Zealand:North Island"
"765","USA:Florida:Saint George Island"
"766","USSR:Ostrova Arkticheskogo Instituta"
"767","Australia:Mornington Island"
"768","Maldives:?"
"769","Papua New Guinea:Dyaul"
"770","Tobago"
"771","Antarctica:Anvers Island"
"772","Azores:Sao Miguel"
"773","Sao Tome and Principe:Ilha do Principe"
"774","New Caledonia:Ile Mare"
"775","Indonesia:Bangkulu"
"776","Canada:Gateshead Island"
"777","Honduras:Islas Santanilla:East"
"778","Angola:Ilha da Baia dos Tigres"
"779","Mexico:Cayo Lobos"
"780","Indonesia:Lomblen"
"781","Chile:Isla Contreras"
"782","Maldives:?"
"783","Canada:Cornwall Island"
"784","USSR:Ostrov Izvestiy Tslk:East"
"785","French Polynesia:Maiao"
"786","Myanmar:Great Western Torres"
"787","Barbados"
"788","Greece:Ios"
"789","Denmark:Streymoy"
